[watch_tty] started at 2026-03-06T01:59:09Z
[watch_tty] waiting for ADAPT pid=3705
[watch_tty] ADAPT still running at 2026-03-06T01:59:09Z
[watch_tty] ADAPT still running at 2026-03-06T01:59:29Z
[watch_tty] ADAPT still running at 2026-03-06T01:59:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:00:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:00:29Z
[watch_tty] ADAPT still running at 2026-03-06T02:00:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:01:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:01:29Z
[watch_tty] ADAPT still running at 2026-03-06T02:01:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:02:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:02:29Z
[watch_tty] ADAPT still running at 2026-03-06T02:02:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:03:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:03:29Z
[watch_tty] ADAPT still running at 2026-03-06T02:03:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:04:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:04:29Z
[watch_tty] ADAPT still running at 2026-03-06T02:04:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:05:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:05:29Z
[watch_tty] ADAPT still running at 2026-03-06T02:05:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:06:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:06:29Z
[watch_tty] ADAPT still running at 2026-03-06T02:06:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:07:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:07:29Z
[watch_tty] ADAPT still running at 2026-03-06T02:07:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:08:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:08:29Z
[watch_tty] ADAPT still running at 2026-03-06T02:08:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:09:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:09:29Z
[watch_tty] ADAPT still running at 2026-03-06T02:09:49Z
[watch_tty] ADAPT still running at 2026-03-06T02:10:09Z
[watch_tty] ADAPT still running at 2026-03-06T02:10:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:10:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:11:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:11:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:11:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:12:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:12:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:12:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:13:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:13:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:13:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:14:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:14:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:14:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:15:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:15:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:15:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:16:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:16:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:16:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:17:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:17:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:17:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:18:10Z
